flno,from,to,distance,departs,arrives,price
1001,London,Malaga,1680,10:30:00,14:20:00,4580
1002,Toulouse,Bristol,915,11:00:00,11:55:00,23550
1003,madison,indianapolis,284,01:30:00,06:30:00,5400
1004,Los-angeles,Honolulu,4108,17:05:00,21:05:00,16342
1005,Mumbai,Jaisalmer,895,14:15:00,16:05:00,5200
1006,Los-angeles,chicago,2818,15:55:00,21:56:00,15390
1007,madison,new-york,1301,10:30:00,17:45:00,47242
1008,Delhi,Srinagar,640,08:10:00,09:15:00,8300
1009,philadelphia,new-york,130,11:30:00,17:30:00,3200
1010,New-Delhi,Montreal,11842,23:55:00,06:10:00,160000
1011,Los-angeles,Honolulu,4108,18:10:00,22:10:00,14050
1012,madison,chicago,112,13:20:00,14:20:00,2900
1013,indianapolis,philadelphia,588,06:45:00,11:15:00,4100
1014,chicago,new-york,1100,14:45:00,17:00:00,5870
